tweet,autoridades,emojis,caixa_alta,hashtags,termos_tecnicos,erros_lingua_portuguesa,repeticoes_pontuacao,verbos_primeira_pessoa,pronomes_primeira_pessoa,nilc_metrix_raw_data,credibilidade,apelo_emocional,clareza
Minha mae acredita em todo tipo de fake nils q passa na televisao contra o lula mas contra o bolsonaro ela nao acredita em nada mano pqp 🥴,"lula, bolsonaro",🥴,,,nilo,"fake, mae, nils, televisao",,,,{},3,1,-1
@lucaspavanato De quem foi o voto de minerva pra soltar o Lula? Cássio Nunes 100% alinhado com Bolsonaro.,"minerva, Lula, Cássio Nunes, Bolsonaro",,,,,,,,,{},4,0,3
@semladroes Bolsonaro perdeu voto,Bolsonaro,,,,,,,,,{},1,0,3
"@CorrupcaoMemes Ces sabem aquela ibagem, né? https://t.co/Z20aCXLkFy","@CorrupcaoMemes Ces, https://t.co/Z20aCXLkFy",,,,ces,ibagem,,,,{},3,0,2
"@institutopapo10 Estão mesmoa! No meu entorno, estão desesperados, pedindo pelo amor de Deus pra que os que não votaram ou que votaram nulo, darem uma chance a bolsonaro. Tu viu a linguagem corporal do bozo hoje na propaganda? Ele elogiando o nordeste e os olhos e o corpo desmentindo?","@institutopapo10, Deus, bozo",,,,,"bozo, mesmoa",,,,{},3,0,1
"Diz que vota no Bolsonaro mas ainda não fez nenhum pacto com o diabo ou mandou abortar um filho, enfim, poser",Bolsonaro,,,,,poser,,,,{},1,0,2
"Só tenho a agradecer ao seu pai,o nosso querido presidente Bolsonaro,por tanta dedicação ao nosso país,ao nosso povo. 🇧🇷2️⃣2️⃣ https://t.co/HTbdLjpvES",Bolsonaro,,,,,,,tenho,,{},2,1,3
@freu_rodrigues Triste ouvir isso desse cara os brasileiros indolatra muito essa praga tem que acabar com isso Bolsonaro 22🇧🇷,"@freu_rodrigues, Triste, Bolsonaro",,,,,indolatra,,,,{},3,0,2
"@MateusKiller22 @acmneto_ Kkkkkk 

Leão já rompeu a tanto tempo  com Rui.

Desonestos ou desinformados?

Olha q Lula teve quase 4 milhões a mais q Bozo aqui. Assim perderão de novo.","@MateusKiller22, Kkkkkk, Leão, Rui, Bozo",,,,,bozo,,,,{},5,0,2
"Tá complicado.....
Mas não vencerão...
Isso é só o sinal do desespero do mito ir em cana e eles não terem mais um boçal para chamar de chefe. https://t.co/T04ilbHmA8",https://t.co/T04ilbHmA8,,,,,,,,,{},1,0,3
